date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:00	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:36:55%20GMT	https://e-wallet360.com/robots.txt		(from )
16:37:00	39037/39037	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:36:55%20GMT	https://e-wallet360.com/	C:/Users/Public/e%20walllet/e-wallet360.com/index.html	(from )
16:37:01	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:36:57%20GMT	https://e-wallet360.com/temp/images/logo.png	C:/Users/Public/e%20walllet/e-wallet360.com/temp/images/logo.0.delayed	(from https://e-wallet360.com/)
16:37:05	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4820-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/Public/e%20walllet/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://e-wallet360.com/)
16:37:07	6403/6403	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/uploads/clock.png	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/uploads/clock.png	(from https://e-wallet360.com/)
16:37:08	3690/3690	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/uploads/operator.png	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/uploads/operator.png	(from https://e-wallet360.com/)
16:37:10	24040/24040	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Nov%202019%2016:01:17%20GMT	https://e-wallet360.com/assets/temp/images/logo.png	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/images/logo.png	(from https://e-wallet360.com/)
16:37:12	13181/13181	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:37:07%20GMT	https://e-wallet360.com/about	C:/Users/Public/e%20walllet/e-wallet360.com/about.html	(from https://e-wallet360.com/)
16:37:15	9083/9083	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:37:10%20GMT	https://e-wallet360.com/faq	C:/Users/Public/e%20walllet/e-wallet360.com/faq.html	(from https://e-wallet360.com/)
16:37:16	462048/462048	---M--	200	added ('OK')	text/css	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/styles/styles.css	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/styles/styles.css	(from https://e-wallet360.com/)
16:37:17	9062/9062	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:37:12%20GMT	https://e-wallet360.com/tutorial	C:/Users/Public/e%20walllet/e-wallet360.com/tutorial.html	(from https://e-wallet360.com/)
